(New) Chromatin State	(Old) Chromatin State
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Weak_transcription	Repressed_PolyComb
Strong_transcription	Bivalent_Enhancer
Heterochromatin	Quiescent_Low
Repressed_PolyComb	Bivalent_Poised_TSS
Quiescent_Low	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Enhancers
Genic_enhancers	Heterochromatin
Active_TSS	ZNF_genes_and_repeats
Enhancers	Weak_transcription
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Flanking_Active_TSS	Active_TSS
Bivalent_Poised_TSS	Transcr_at_gene_5_and_3
Bivalent_Enhancer	Genic_enhancers
Flanking_Bivalent_TSS_Enh	Strong_transcription
