(New) Cell Type	(Old) Cell Type
Skeletal_Muscle_Female	Skeletal_Muscle_Female
HepG2_Hepatocellular_Carcinoma	Adipose_Nuclei
Peripheral_Blood_Mononuclear_Primary_Cells	Small_Intestine
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Mobilized_CD34_Primary_Cells_Male
Brain_Germinal_Matrix	Stomach_Mucosa
Spleen	Sigmoid_Colon
Stomach_Smooth_Muscle	CD34_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	Dnd41_TCell_Leukemia
Esophagus	Mobilized_CD34_Primary_Cells_Female
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Placenta_Amnion
CD34_Primary_Cells	Breast_vHMEC
Lung	CD14_Primary_Cells
Fetal_Adrenal_Gland	CD19_Primary_Cells_Peripheral_UW
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Fetal_Stomach
Gastric	Fetal_Muscle_Leg
Colonic_Mucosa	Fetal_Adrenal_Gland
Thymus	Left_Ventricle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Lung
Fetal_Brain_Male	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Pancreas	Fetal_Thymus
Adipose_Nuclei	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	Skeletal_Muscle_Male
Fetal_Muscle_Trunk	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
iPS_DF_19.11_Cell_Line	Psoas_Muscle
Right_Ventricle	Fetal_Muscle_Trunk
H1_Derived_Mesenchymal_Stem_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
CD34_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Skeletal_Muscle_Male	CD4pp_CD25__Th_Primary_Cells
Fetal_Intestine_Small	CD56_Primary_Cells
Fetal_Placenta	HUVEC_Umbilical_Vein_Endothelial_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD15_Primary_Cells
CD56_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NHLF_Lung_Fibroblasts	CD19_Primary_Cells_Cord_BI
Fetal_Muscle_Leg	Fetal_Intestine_Large
Fetal_Brain_Female	Fetal_Heart
Stomach_Mucosa	Fetal_Intestine_Small
Rectal_Mucosa.Donor_29	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Brain_Mid_Frontal_Lobe	CD4_Memory_Primary_Cells
Duodenum_Mucosa	Neurosphere_Cultured_Cells_Cortex_Derived
Brain_Angular_Gyrus	CD8_Naive_Primary_Cells
Monocytes_CD14pp_RO01746	Fetal_Lung
4star	Esophagus
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Placenta
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD34_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	IMR90_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	CD3_Primary_Cells_Peripheral_UW
CD4pp_CD25__Th_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Placenta_Amnion	Muscle_Satellite_Cultured_Cells
Brain_Cingulate_Gyrus	Colon_Smooth_Muscle
Brain_Anterior_Caudate	CD8_Memory_Primary_Cells
iPS_15b_Cell_Line	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD19_Primary_Cells_Cord_BI	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
IMR90_Cell_Line	NHEK_Epidermal_Keratinocytes
Left_Ventricle	CD4_Naive_Primary_Cells
Fetal_Stomach	Pancreas
H1_Cell_Line	Right_Atrium
Rectal_Mucosa.Donor_31	Fetal_Kidney
Adult_Liver	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Aorta	HMEC_Mammary_Epithelial
Brain_Hippocampus_Middle	Thymus
Brain_Inferior_Temporal_Lobe	iPS_DF_6.9_Cell_Line
Fetal_Thymus	H9_Derived_Neuron_Cultured_Cells
Fetal_Heart	Monocytes_CD14pp_RO01746
Mobilized_CD34_Primary_Cells_Male	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Rectal_Smooth_Muscle	NH_A_Astrocytes
Fetal_Intestine_Large	HSMM_Skeletal_Muscle_Myoblasts
ES_WA7_Cell_Line	Spleen
Dnd41_TCell_Leukemia	Rectal_Mucosa.Donor_31
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
Mobilized_CD34_Primary_Cells_Female	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Right_Atrium	NHDF_Ad_Adult_Dermal_Fibroblasts
Duodenum_Smooth_Muscle	Gastric
CD3_Primary_Cells_Cord_BI	Adult_Liver
CD15_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD14_Primary_Cells	Colonic_Mucosa
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	H1_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	NHLF_Lung_Fibroblasts
Psoas_Muscle	Aorta
Sigmoid_Colon	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
H9_Derived_Neuron_Cultured_Cells	iPS_DF_19.11_Cell_Line
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Osteoblasts	Duodenum_Smooth_Muscle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Right_Ventricle
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Fetal_Brain_Male
Breast_Myoepithelial_Cells	4star
Colon_Smooth_Muscle	Brain_Germinal_Matrix
Brain_Substantia_Nigra	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
HUES6_Cell_Line	Osteoblasts
HMEC_Mammary_Epithelial	Breast_Myoepithelial_Cells
Fetal_Kidney	Ovary
CD4_Naive_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Lung	ES_WA7_Cell_Line
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Ovary	Rectal_Smooth_Muscle
CD8_Memory_Primary_Cells	iPS_18_Cell_Line
H9_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD4_Memory_Primary_Cells	Brain_Substantia_Nigra
NH_A_Astrocytes	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	HepG2_Hepatocellular_Carcinoma
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Cingulate_Gyrus
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Duodenum_Mucosa
NHEK_Epidermal_Keratinocytes	Stomach_Smooth_Muscle
iPS_DF_6.9_Cell_Line	Brain_Hippocampus_Middle
A549_EtOH_0.02pct_Lung_Carcinoma	HUES48_Cell_Line
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	GM12878_Lymphoblastoid
HeLa_S3_Cervical_Carcinoma	HUES64_Cell_Line
GM12878_Lymphoblastoid	Brain_Mid_Frontal_Lobe
Pancreatic_Islets	Rectal_Mucosa.Donor_29
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Brain_Female
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	K562_Leukemia
CD8_Naive_Primary_Cells	Brain_Angular_Gyrus
Muscle_Satellite_Cultured_Cells	Brain_Inferior_Temporal_Lobe
HSMM_Skeletal_Muscle_Myoblasts	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_20b_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
NHDF_Ad_Adult_Dermal_Fibroblasts	H9_Cell_Line
iPS_18_Cell_Line	iPS_15b_Cell_Line
K562_Leukemia	HUES6_Cell_Line
HUVEC_Umbilical_Vein_Endothelial_Cells	iPS_20b_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
ES_I3_Cell_Line	Brain_Anterior_Caudate
HUES48_Cell_Line	HeLa_S3_Cervical_Carcinoma
Small_Intestine	A549_EtOH_0.02pct_Lung_Carcinoma
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HUES64_Cell_Line	ES_I3_Cell_Line
Breast_vHMEC	Pancreatic_Islets
