(New) Cell Type	(Old) Cell Type
Skeletal_Muscle_Male	Skeletal_Muscle_Male
Fetal_Intestine_Small	Skeletal_Muscle_Female
Fetal_Thymus	Psoas_Muscle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Colon_Smooth_Muscle
CD4pp_CD25__Th_Primary_Cells	Duodenum_Smooth_Muscle
CD4_Memory_Primary_Cells	Ovary
CD8_Naive_Primary_Cells	Adipose_Nuclei
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Stomach_Smooth_Muscle
Colonic_Mucosa	Rectal_Smooth_Muscle
Breast_Myoepithelial_Cells	Colonic_Mucosa
Mobilized_CD34_Primary_Cells_Female	Spleen
Right_Atrium	Right_Ventricle
iPS_DF_19.11_Cell_Line	Brain_Substantia_Nigra
CD8_Memory_Primary_Cells	Esophagus
Stomach_Smooth_Muscle	Brain_Anterior_Caudate
Stomach_Mucosa	Left_Ventricle
Fetal_Lung	Brain_Mid_Frontal_Lobe
H9_Derived_Neuron_Cultured_Cells	Brain_Hippocampus_Middle
iPS_DF_6.9_Cell_Line	Brain_Angular_Gyrus
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Adult_Liver
Skeletal_Muscle_Female	Placenta_Amnion
Neurosphere_Cultured_Cells_Cortex_Derived	Brain_Inferior_Temporal_Lobe
CD14_Primary_Cells	Brain_Cingulate_Gyrus
CD34_Primary_Cells	Duodenum_Mucosa
CD34_Cultured_Cells	Rectal_Mucosa.Donor_29
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Placenta	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Muscle_Trunk	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Pancreas	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Adipose_Nuclei	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Lung
CD4_Naive_Primary_Cells	Rectal_Mucosa.Donor_31
Fetal_Stomach	Fetal_Intestine_Small
Fetal_Intestine_Large	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	H9_Cell_Line
H1_Derived_Mesenchymal_Stem_Cells	CD8_Memory_Primary_Cells
Brain_Substantia_Nigra	Fetal_Intestine_Large
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Duodenum_Mucosa	CD4_Naive_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	CD4_Memory_Primary_Cells
Right_Ventricle	Breast_Myoepithelial_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	iPS_DF_19.11_Cell_Line
CD19_Primary_Cells_Cord_BI	Stomach_Mucosa
GM12878_Lymphoblastoid	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	HMEC_Mammary_Epithelial
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Gastric	CD4pp_CD25__Th_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Rectal_Mucosa.Donor_29	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD15_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
Lung	iPS_DF_6.9_Cell_Line
NHEK_Epidermal_Keratinocytes	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Brain_Hippocampus_Middle	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Adrenal_Gland	HSMM_Skeletal_Muscle_Myoblasts
Fetal_Heart	NH_A_Astrocytes
H1_Cell_Line	Fetal_Heart
Fetal_Muscle_Leg	Sigmoid_Colon
HepG2_Hepatocellular_Carcinoma	H1_Derived_Mesenchymal_Stem_Cells
CD3_Primary_Cells_Cord_BI	Peripheral_Blood_Mononuclear_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Muscle_Leg
Esophagus	CD8_Naive_Primary_Cells
4star	CD34_Cultured_Cells
IMR90_Cell_Line	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Spleen	Fetal_Muscle_Trunk
Placenta_Amnion	Mobilized_CD34_Primary_Cells_Female
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Fetal_Adrenal_Gland
Brain_Inferior_Temporal_Lobe	Fetal_Placenta
CD56_Primary_Cells	Fetal_Stomach
Adult_Liver	NHEK_Epidermal_Keratinocytes
Brain_Mid_Frontal_Lobe	CD34_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Neurosphere_Cultured_Cells_Cortex_Derived
Mobilized_CD34_Primary_Cells_Male	4star
Sigmoid_Colon	CD3_Primary_Cells_Cord_BI
Brain_Germinal_Matrix	NHLF_Lung_Fibroblasts
HUVEC_Umbilical_Vein_Endothelial_Cells	Brain_Germinal_Matrix
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Brain_Female
Rectal_Mucosa.Donor_31	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Monocytes_CD14pp_RO01746	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Angular_Gyrus	ES_WA7_Cell_Line
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Muscle_Satellite_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Duodenum_Smooth_Muscle	H1_Cell_Line
Brain_Cingulate_Gyrus	CD19_Primary_Cells_Peripheral_UW
Brain_Anterior_Caudate	Thymus
NH_A_Astrocytes	Breast_vHMEC
Fetal_Brain_Female	ES_I3_Cell_Line
Left_Ventricle	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Muscle_Satellite_Cultured_Cells	HUES6_Cell_Line
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Ovary	Fetal_Thymus
Aorta	Small_Intestine
Thymus	CD56_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	IMR90_Cell_Line
HUES6_Cell_Line	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	HUES64_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
K562_Leukemia	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Rectal_Smooth_Muscle	H9_Derived_Neuron_Cultured_Cells
Fetal_Brain_Male	NHDF_Ad_Adult_Dermal_Fibroblasts
Fetal_Kidney	HUVEC_Umbilical_Vein_Endothelial_Cells
Colon_Smooth_Muscle	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
ES_WA7_Cell_Line	iPS_15b_Cell_Line
NHLF_Lung_Fibroblasts	HUES48_Cell_Line
HMEC_Mammary_Epithelial	Osteoblasts
ES_I3_Cell_Line	Right_Atrium
H9_Cell_Line	Fetal_Lung
Psoas_Muscle	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Osteoblasts	CD19_Primary_Cells_Cord_BI
Breast_vHMEC	iPS_18_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	iPS_20b_Cell_Line
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Brain_Male
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	GM12878_Lymphoblastoid
Small_Intestine	Fetal_Kidney
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD3_Primary_Cells_Peripheral_UW
iPS_15b_Cell_Line	CD15_Primary_Cells
Dnd41_TCell_Leukemia	Monocytes_CD14pp_RO01746
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Aorta
iPS_18_Cell_Line	CD14_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Gastric
HeLa_S3_Cervical_Carcinoma	Pancreatic_Islets
iPS_20b_Cell_Line	HepG2_Hepatocellular_Carcinoma
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	K562_Leukemia
HUES48_Cell_Line	HeLa_S3_Cervical_Carcinoma
HUES64_Cell_Line	Dnd41_TCell_Leukemia
Pancreatic_Islets	Pancreas
