(New) Cell Type	(Old) Cell Type
Skeletal_Muscle_Male	Skeletal_Muscle_Male
Skeletal_Muscle_Female	Psoas_Muscle
Stomach_Smooth_Muscle	Colon_Smooth_Muscle
Rectal_Smooth_Muscle	NHLF_Lung_Fibroblasts
HMEC_Mammary_Epithelial	HSMM_Skeletal_Muscle_Myoblasts
Adipose_Nuclei	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Brain_Cingulate_Gyrus	NHDF_Ad_Adult_Dermal_Fibroblasts
Gastric	Left_Ventricle
Brain_Anterior_Caudate	Fetal_Kidney
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Esophagus
Adult_Liver	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Fetal_Lung
Fetal_Thymus	Fetal_Intestine_Small
Ovary	Fetal_Stomach
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Intestine_Large
iPS_DF_6.9_Cell_Line	NHEK_Epidermal_Keratinocytes
Colonic_Mucosa	IMR90_Cell_Line
Fetal_Muscle_Leg	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Lung	Lung
4star	H1_Cell_Line
CD14_Primary_Cells	iPS_DF_6.9_Cell_Line
Rectal_Mucosa.Donor_31	Sigmoid_Colon
Neurosphere_Cultured_Cells_Cortex_Derived	Fetal_Adrenal_Gland
Aorta	Breast_vHMEC
Duodenum_Mucosa	Fetal_Muscle_Leg
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Stomach_Mucosa
Lung	Placenta_Amnion
Esophagus	Fetal_Muscle_Trunk
Fetal_Muscle_Trunk	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Rectal_Mucosa.Donor_29	Small_Intestine
Fetal_Intestine_Large	Thymus
CD19_Primary_Cells_Peripheral_UW	Breast_Myoepithelial_Cells
Brain_Substantia_Nigra	Fetal_Thymus
H9_Cell_Line	iPS_18_Cell_Line
Brain_Angular_Gyrus	Muscle_Satellite_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Pancreas
Brain_Germinal_Matrix	Duodenum_Smooth_Muscle
Brain_Hippocampus_Middle	HUES64_Cell_Line
Brain_Mid_Frontal_Lobe	HUES48_Cell_Line
iPS_15b_Cell_Line	Right_Ventricle
Mobilized_CD34_Primary_Cells_Female	Skeletal_Muscle_Female
CD3_Primary_Cells_Peripheral_UW	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Left_Ventricle	Aorta
Pancreas	CD4_Memory_Primary_Cells
Fetal_Brain_Female	CD8_Memory_Primary_Cells
Brain_Inferior_Temporal_Lobe	H9_Cell_Line
Colon_Smooth_Muscle	H9_Derived_Neuron_Cultured_Cells
HeLa_S3_Cervical_Carcinoma	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Right_Atrium	Rectal_Smooth_Muscle
H1_Cell_Line	CD8_Naive_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD4_Naive_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD34_Cultured_Cells	Brain_Mid_Frontal_Lobe
H1_Derived_Mesenchymal_Stem_Cells	Colonic_Mucosa
Fetal_Adrenal_Gland	4star
Sigmoid_Colon	Gastric
Mobilized_CD34_Primary_Cells_Male	Fetal_Placenta
HSMM_Skeletal_Muscle_Myoblasts	HMEC_Mammary_Epithelial
Duodenum_Smooth_Muscle	iPS_15b_Cell_Line
CD56_Primary_Cells	CD14_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Dnd41_TCell_Leukemia
CD3_Primary_Cells_Cord_BI	Ovary
CD8_Memory_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
iPS_DF_19.11_Cell_Line	NH_A_Astrocytes
Fetal_Placenta	Neurosphere_Cultured_Cells_Cortex_Derived
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	HeLa_S3_Cervical_Carcinoma
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	HUES6_Cell_Line
Fetal_Kidney	HUVEC_Umbilical_Vein_Endothelial_Cells
H9_Derived_Neuron_Cultured_Cells	Osteoblasts
NHEK_Epidermal_Keratinocytes	Brain_Cingulate_Gyrus
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Heart
Thymus	Rectal_Mucosa.Donor_31
Psoas_Muscle	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Brain_Male	Fetal_Brain_Female
IMR90_Cell_Line	Brain_Substantia_Nigra
CD4_Naive_Primary_Cells	Brain_Angular_Gyrus
Stomach_Mucosa	K562_Leukemia
CD34_Primary_Cells	Brain_Germinal_Matrix
NH_A_Astrocytes	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HUES6_Cell_Line	H1_Derived_Mesenchymal_Stem_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4_Memory_Primary_Cells	Right_Atrium
Spleen	HepG2_Hepatocellular_Carcinoma
K562_Leukemia	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Right_Ventricle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Fetal_Stomach	Brain_Inferior_Temporal_Lobe
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Brain_Hippocampus_Middle
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Osteoblasts	Peripheral_Blood_Mononuclear_Primary_Cells
ES_I3_Cell_Line	iPS_20b_Cell_Line
Fetal_Heart	ES_I3_Cell_Line
CD8_Naive_Primary_Cells	Fetal_Brain_Male
NHLF_Lung_Fibroblasts	CD56_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
ES_WA7_Cell_Line	Stomach_Smooth_Muscle
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	ES_WA7_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	iPS_DF_19.11_Cell_Line
GM12878_Lymphoblastoid	CD3_Primary_Cells_Cord_BI
Placenta_Amnion	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Duodenum_Mucosa
Small_Intestine	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Muscle_Satellite_Cultured_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
iPS_18_Cell_Line	CD34_Cultured_Cells
CD4pp_CD25__Th_Primary_Cells	Rectal_Mucosa.Donor_29
CD19_Primary_Cells_Cord_BI	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	A549_EtOH_0.02pct_Lung_Carcinoma
HUVEC_Umbilical_Vein_Endothelial_Cells	CD15_Primary_Cells
Monocytes_CD14pp_RO01746	Brain_Anterior_Caudate
Breast_Myoepithelial_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HUES48_Cell_Line	Spleen
iPS_20b_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Adipose_Nuclei
HUES64_Cell_Line	GM12878_Lymphoblastoid
Fetal_Intestine_Small	CD19_Primary_Cells_Cord_BI
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Monocytes_CD14pp_RO01746
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	CD4pp_CD25__Th_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Adult_Liver
CD15_Primary_Cells	Pancreatic_Islets
Pancreatic_Islets	CD34_Primary_Cells
Dnd41_TCell_Leukemia	Mobilized_CD34_Primary_Cells_Female
Breast_vHMEC	Mobilized_CD34_Primary_Cells_Male
