(New) Cell Type	(Old) Cell Type
Skeletal_Muscle_Male	Breast_Myoepithelial_Cells
Duodenum_Smooth_Muscle	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Fetal_Placenta
Skeletal_Muscle_Female	Fetal_Intestine_Small
Brain_Cingulate_Gyrus	Mobilized_CD34_Primary_Cells_Male
CD3_Primary_Cells_Peripheral_UW	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	HUES6_Cell_Line
Brain_Substantia_Nigra	HepG2_Hepatocellular_Carcinoma
Brain_Germinal_Matrix	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD3_Primary_Cells_Cord_BI	Skeletal_Muscle_Male
Ovary	Adult_Liver
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	IMR90_Cell_Line
Fetal_Thymus	CD56_Primary_Cells
CD19_Primary_Cells_Cord_BI	HUVEC_Umbilical_Vein_Endothelial_Cells
Brain_Inferior_Temporal_Lobe	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4pp_CD25__Th_Primary_Cells	Adipose_Nuclei
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	CD15_Primary_Cells
Rectal_Mucosa.Donor_31	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
H9_Cell_Line	Monocytes_CD14pp_RO01746
Fetal_Brain_Male	Fetal_Muscle_Leg
CD15_Primary_Cells	Duodenum_Mucosa
Spleen	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Muscle_Trunk	Brain_Anterior_Caudate
iPS_DF_19.11_Cell_Line	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Small_Intestine	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	HUES64_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Brain_Hippocampus_Middle
Right_Atrium	A549_EtOH_0.02pct_Lung_Carcinoma
Fetal_Heart	Brain_Germinal_Matrix
Stomach_Mucosa	Psoas_Muscle
Brain_Angular_Gyrus	4star
Fetal_Brain_Female	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Psoas_Muscle	Fetal_Brain_Female
HeLa_S3_Cervical_Carcinoma	Brain_Cingulate_Gyrus
NHLF_Lung_Fibroblasts	Brain_Inferior_Temporal_Lobe
K562_Leukemia	Fetal_Muscle_Trunk
