(New) Cell Type	(Old) Cell Type
Skeletal_Muscle_Male	Skeletal_Muscle_Male
Mobilized_CD34_Primary_Cells_Male	Colonic_Mucosa
Brain_Hippocampus_Middle	Small_Intestine
Monocytes_CD14pp_RO01746	Rectal_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Placenta_Amnion
Brain_Anterior_Caudate	Fetal_Brain_Male
Placenta_Amnion	Brain_Mid_Frontal_Lobe
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Brain_Angular_Gyrus
Brain_Inferior_Temporal_Lobe	Brain_Substantia_Nigra
NHLF_Lung_Fibroblasts	Fetal_Kidney
Fetal_Brain_Female	Colon_Smooth_Muscle
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	iPS_DF_6.9_Cell_Line
IMR90_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Right_Ventricle
Colon_Smooth_Muscle	Brain_Cingulate_Gyrus
Muscle_Satellite_Cultured_Cells	Psoas_Muscle
Stomach_Smooth_Muscle	Esophagus
Brain_Germinal_Matrix	Brain_Inferior_Temporal_Lobe
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Gastric
H9_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
CD14_Primary_Cells	Spleen
Brain_Cingulate_Gyrus	Fetal_Heart
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Lung	Ovary
Fetal_Stomach	Pancreas
Sigmoid_Colon	Aorta
Fetal_Muscle_Leg	Skeletal_Muscle_Female
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Brain_Hippocampus_Middle
NHEK_Epidermal_Keratinocytes	Fetal_Adrenal_Gland
Thymus	Brain_Anterior_Caudate
Spleen	Fetal_Muscle_Trunk
Neurosphere_Cultured_Cells_Cortex_Derived	Adipose_Nuclei
HMEC_Mammary_Epithelial	Left_Ventricle
GM12878_Lymphoblastoid	Stomach_Smooth_Muscle
Fetal_Intestine_Small	Lung
Skeletal_Muscle_Female	Duodenum_Smooth_Muscle
