(New) Cell Type	(Old) Cell Type
Skeletal_Muscle_Male	Skeletal_Muscle_Male
Colonic_Mucosa	Placenta_Amnion
iPS_15b_Cell_Line	Skeletal_Muscle_Female
IMR90_Cell_Line	Right_Ventricle
Colon_Smooth_Muscle	Rectal_Smooth_Muscle
Fetal_Brain_Male	Brain_Mid_Frontal_Lobe
Skeletal_Muscle_Female	Stomach_Mucosa
Rectal_Smooth_Muscle	Colon_Smooth_Muscle
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Cingulate_Gyrus
Brain_Hippocampus_Middle	Colonic_Mucosa
CD19_Primary_Cells_Cord_BI	Osteoblasts
H9_Derived_Neuron_Cultured_Cells	Brain_Angular_Gyrus
CD34_Primary_Cells	Rectal_Mucosa.Donor_29
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Small_Intestine
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Muscle_Satellite_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	Brain_Substantia_Nigra
H1_Cell_Line	Stomach_Smooth_Muscle
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
HMEC_Mammary_Epithelial	Brain_Inferior_Temporal_Lobe
Stomach_Mucosa	CD4_Naive_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Left_Ventricle
Muscle_Satellite_Cultured_Cells	Brain_Hippocampus_Middle
Mobilized_CD34_Primary_Cells_Female	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Thymus	CD8_Memory_Primary_Cells
Brain_Germinal_Matrix	Rectal_Mucosa.Donor_31
CD14_Primary_Cells	Duodenum_Mucosa
CD8_Memory_Primary_Cells	Brain_Anterior_Caudate
Adipose_Nuclei	CD4_Memory_Primary_Cells
CD8_Naive_Primary_Cells	Gastric
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Psoas_Muscle
NHEK_Epidermal_Keratinocytes	CD8_Naive_Primary_Cells
Fetal_Muscle_Leg	Pancreas
Mobilized_CD34_Primary_Cells_Male	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD56_Primary_Cells	Adipose_Nuclei
HUES6_Cell_Line	Duodenum_Smooth_Muscle
Breast_Myoepithelial_Cells	Ovary
4star	Sigmoid_Colon
CD4_Naive_Primary_Cells	NHLF_Lung_Fibroblasts
GM12878_Lymphoblastoid	NH_A_Astrocytes
Fetal_Placenta	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Heart
Fetal_Stomach	NHDF_Ad_Adult_Dermal_Fibroblasts
Fetal_Adrenal_Gland	Peripheral_Blood_Mononuclear_Primary_Cells
Monocytes_CD14pp_RO01746	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Thymus	HUVEC_Umbilical_Vein_Endothelial_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
Fetal_Intestine_Large	CD4pp_CD25__Th_Primary_Cells
Rectal_Mucosa.Donor_31	Fetal_Placenta
K562_Leukemia	HeLa_S3_Cervical_Carcinoma
