(New) Cell Type	(Old) Cell Type
Small_Intestine	Small_Intestine
Rectal_Mucosa.Donor_29	Duodenum_Mucosa
Stomach_Smooth_Muscle	Sigmoid_Colon
H9_Cell_Line	Duodenum_Smooth_Muscle
ES_WA7_Cell_Line	Rectal_Mucosa.Donor_29
GM12878_Lymphoblastoid	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD8_Memory_Primary_Cells	Psoas_Muscle
Sigmoid_Colon	Rectal_Mucosa.Donor_31
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Rectal_Smooth_Muscle
CD3_Primary_Cells_Cord_BI	Stomach_Mucosa
HeLa_S3_Cervical_Carcinoma	Colonic_Mucosa
Psoas_Muscle	Fetal_Intestine_Large
Left_Ventricle	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Fetal_Brain_Female	Fetal_Stomach
ES_I3_Cell_Line	Fetal_Intestine_Small
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	Breast_vHMEC
Adult_Liver	NHLF_Lung_Fibroblasts
Duodenum_Smooth_Muscle	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Derived_Neuron_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Colon_Smooth_Muscle
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Thymus
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HSMM_Skeletal_Muscle_Myoblasts
H9_Derived_Neuron_Cultured_Cells	CD34_Cultured_Cells
Brain_Mid_Frontal_Lobe	Fetal_Kidney
Fetal_Kidney	CD8_Memory_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Left_Ventricle
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Muscle_Leg
CD34_Primary_Cells	IMR90_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Adrenal_Gland
Ovary	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Brain_Inferior_Temporal_Lobe	NHEK_Epidermal_Keratinocytes
Osteoblasts	Brain_Mid_Frontal_Lobe
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Fetal_Lung	CD4_Memory_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Breast_Myoepithelial_Cells
Aorta	Right_Atrium
Brain_Anterior_Caudate	CD4pp_CD25pp_CD127__Treg_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	CD4_Naive_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
iPS_15b_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
iPS_18_Cell_Line	Fetal_Muscle_Trunk
HepG2_Hepatocellular_Carcinoma	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Duodenum_Mucosa	Fetal_Thymus
iPS_20b_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
HUVEC_Umbilical_Vein_Endothelial_Cells	HMEC_Mammary_Epithelial
Brain_Angular_Gyrus	CD3_Primary_Cells_Cord_BI
NHEK_Epidermal_Keratinocytes	HeLa_S3_Cervical_Carcinoma
CD19_Primary_Cells_Cord_BI	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
HUES64_Cell_Line	Fetal_Lung
A549_EtOH_0.02pct_Lung_Carcinoma	CD3_Primary_Cells_Peripheral_UW
Rectal_Smooth_Muscle	Brain_Angular_Gyrus
NH_A_Astrocytes	HUES64_Cell_Line
Mobilized_CD34_Primary_Cells_Male	H1_Cell_Line
Fetal_Brain_Male	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Brain_Substantia_Nigra	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
H1_Cell_Line	H9_Cell_Line
NHLF_Lung_Fibroblasts	CD8_Naive_Primary_Cells
Rectal_Mucosa.Donor_31	Dnd41_TCell_Leukemia
Placenta_Amnion	CD4pp_CD25__Th_Primary_Cells
Thymus	Stomach_Smooth_Muscle
Brain_Hippocampus_Middle	HepG2_Hepatocellular_Carcinoma
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Aorta
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Brain_Cingulate_Gyrus	K562_Leukemia
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Fetal_Heart	NH_A_Astrocytes
Muscle_Satellite_Cultured_Cells	Osteoblasts
4star	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Esophagus
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Muscle_Satellite_Cultured_Cells
HUES6_Cell_Line	HUES48_Cell_Line
HMEC_Mammary_Epithelial	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
K562_Leukemia	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Mobilized_CD34_Primary_Cells_Female	Adipose_Nuclei
CD4_Naive_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Colon_Smooth_Muscle	Brain_Anterior_Caudate
Right_Ventricle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Skeletal_Muscle_Female	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Right_Atrium	Mobilized_CD34_Primary_Cells_Female
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Cingulate_Gyrus
Monocytes_CD14pp_RO01746	Fetal_Brain_Female
Brain_Germinal_Matrix	CD19_Primary_Cells_Cord_BI
H1_Derived_Mesenchymal_Stem_Cells	Right_Ventricle
CD4_Memory_Primary_Cells	Lung
Pancreas	GM12878_Lymphoblastoid
CD34_Cultured_Cells	iPS_18_Cell_Line
HUES48_Cell_Line	Brain_Inferior_Temporal_Lobe
Adipose_Nuclei	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Brain_Hippocampus_Middle
Skeletal_Muscle_Male	A549_EtOH_0.02pct_Lung_Carcinoma
Gastric	CD56_Primary_Cells
Colonic_Mucosa	Brain_Substantia_Nigra
CD4pp_CD25__Th_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
CD3_Primary_Cells_Peripheral_UW	CD34_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Brain_Germinal_Matrix
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	iPS_20b_Cell_Line
Breast_vHMEC	Skeletal_Muscle_Male
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Pancreatic_Islets
Fetal_Muscle_Leg	Skeletal_Muscle_Female
IMR90_Cell_Line	Fetal_Brain_Male
Pancreatic_Islets	Fetal_Placenta
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD14_Primary_Cells
Esophagus	iPS_15b_Cell_Line
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	HUES6_Cell_Line
Fetal_Muscle_Trunk	ES_I3_Cell_Line
Stomach_Mucosa	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Gastric
Fetal_Thymus	Mobilized_CD34_Primary_Cells_Male
Fetal_Adrenal_Gland	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
iPS_DF_6.9_Cell_Line	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Lung	4star
CD14_Primary_Cells	iPS_DF_6.9_Cell_Line
CD19_Primary_Cells_Peripheral_UW	Monocytes_CD14pp_RO01746
CD56_Primary_Cells	CD15_Primary_Cells
Fetal_Placenta	Adult_Liver
CD8_Naive_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Stomach	Pancreas
Fetal_Intestine_Large	Placenta_Amnion
iPS_DF_19.11_Cell_Line	Ovary
Spleen	Fetal_Heart
Breast_Myoepithelial_Cells	H1_Derived_Mesenchymal_Stem_Cells
Dnd41_TCell_Leukemia	iPS_DF_19.11_Cell_Line
CD15_Primary_Cells	ES_WA7_Cell_Line
Fetal_Intestine_Small	Spleen
