(New) Chromatin State	(Old) Chromatin State
Enhancers	Flanking_Active_TSS
Transcr_at_gene_5_and_3	Enhancers
Flanking_Active_TSS	Transcr_at_gene_5_and_3
ZNF_genes_and_repeats	Weak_transcription
Genic_enhancers	Active_TSS
Bivalent_Enhancer	Genic_enhancers
Active_TSS	Flanking_Bivalent_TSS_Enh
Bivalent_Poised_TSS	Bivalent_Enhancer
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Repressed_PolyComb	Repressed_PolyComb
Heterochromatin	Quiescent_Low
Strong_transcription	Strong_transcription
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	ZNF_genes_and_repeats
Quiescent_Low	Heterochromatin
