(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Enhancers	Active_TSS
Genic_enhancers	Enhancers
Flanking_Active_TSS	Weak_transcription
Active_TSS	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Bivalent_Poised_TSS
Bivalent_Enhancer	Bivalent_Enhancer
Bivalent_Poised_TSS	Transcr_at_gene_5_and_3
Repressed_PolyComb	Genic_enhancers
Flanking_Bivalent_TSS_Enh	Repressed_PolyComb
Heterochromatin	Weak_Repressed_PolyComb
Strong_transcription	Quiescent_Low
Weak_transcription	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Heterochromatin
