(New) Chromatin State	(Old) Chromatin State
Repressed_PolyComb	Heterochromatin
Heterochromatin	ZNF_genes_and_repeats
Strong_transcription	Quiescent_Low
Active_TSS	Repressed_PolyComb
Genic_enhancers	Weak_Repressed_PolyComb
ZNF_genes_and_repeats	Bivalent_Enhancer
Weak_transcription	Bivalent_Poised_TSS
Enhancers	Flanking_Bivalent_TSS_Enh
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Weak_Repressed_PolyComb	Active_TSS
Flanking_Active_TSS	Flanking_Active_TSS
Bivalent_Poised_TSS	Enhancers
Bivalent_Enhancer	Genic_enhancers
Flanking_Bivalent_TSS_Enh	Weak_transcription
Quiescent_Low	Strong_transcription
