(New) Chromatin State	(Old) Chromatin State
Bivalent_Enhancer	Repressed_PolyComb
Bivalent_Poised_TSS	Bivalent_Enhancer
Repressed_PolyComb	Bivalent_Poised_TSS
Transcr_at_gene_5_and_3	Flanking_Bivalent_TSS_Enh
Active_TSS	Active_TSS
Flanking_Bivalent_TSS_Enh	Weak_Repressed_PolyComb
Flanking_Active_TSS	Flanking_Active_TSS
ZNF_genes_and_repeats	ZNF_genes_and_repeats
Genic_enhancers	Transcr_at_gene_5_and_3
Enhancers	Enhancers
Heterochromatin	Genic_enhancers
Strong_transcription	Heterochromatin
Weak_transcription	Weak_transcription
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
