(New) Cell Type	(Old) Cell Type
Spleen	Spleen
Fetal_Muscle_Leg	Lung
H1_Derived_Mesenchymal_Stem_Cells	Sigmoid_Colon
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Gastric
Brain_Substantia_Nigra	Pancreas
Adipose_Nuclei	Fetal_Placenta
Fetal_Muscle_Trunk	Peripheral_Blood_Mononuclear_Primary_Cells
Right_Atrium	Esophagus
CD3_Primary_Cells_Peripheral_UW	CD14_Primary_Cells
Stomach_Mucosa	Colonic_Mucosa
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Fetal_Adrenal_Gland
CD15_Primary_Cells	Right_Ventricle
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Thymus	Left_Ventricle
Fetal_Adrenal_Gland	Fetal_Muscle_Trunk
iPS_DF_19.11_Cell_Line	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD34_Primary_Cells	CD56_Primary_Cells
Brain_Hippocampus_Middle	CD19_Primary_Cells_Peripheral_UW
Fetal_Stomach	Brain_Substantia_Nigra
Breast_Myoepithelial_Cells	Brain_Mid_Frontal_Lobe
Skeletal_Muscle_Female	Brain_Cingulate_Gyrus
Pancreas	H1_Derived_Mesenchymal_Stem_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Adipose_Nuclei
Lung	Colon_Smooth_Muscle
Brain_Germinal_Matrix	Fetal_Intestine_Large
CD4pp_CD25__Th_Primary_Cells	Rectal_Smooth_Muscle
Colonic_Mucosa	Fetal_Stomach
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Fetal_Muscle_Leg
Skeletal_Muscle_Male	Mobilized_CD34_Primary_Cells_Female
Fetal_Placenta	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Brain_Inferior_Temporal_Lobe	Rectal_Mucosa.Donor_31
Duodenum_Mucosa	Brain_Hippocampus_Middle
NH_A_Astrocytes	CD4pp_CD25__Th_Primary_Cells
CD14_Primary_Cells	CD8_Memory_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Brain_Anterior_Caudate
Stomach_Smooth_Muscle	Duodenum_Mucosa
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Thymus
NHDF_Ad_Adult_Dermal_Fibroblasts	CD3_Primary_Cells_Peripheral_UW
CD56_Primary_Cells	Brain_Inferior_Temporal_Lobe
CD8_Naive_Primary_Cells	Fetal_Thymus
Right_Ventricle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
H9_Derived_Neuron_Cultured_Cells	iPS_15b_Cell_Line
Brain_Anterior_Caudate	CD4_Naive_Primary_Cells
Esophagus	Duodenum_Smooth_Muscle
CD19_Primary_Cells_Cord_BI	Fetal_Lung
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Placenta_Amnion
4star	iPS_DF_6.9_Cell_Line
CD34_Cultured_Cells	Rectal_Mucosa.Donor_29
Rectal_Mucosa.Donor_29	Skeletal_Muscle_Male
Mobilized_CD34_Primary_Cells_Male	CD15_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Skeletal_Muscle_Female
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	4star
CD3_Primary_Cells_Cord_BI	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Adult_Liver	IMR90_Cell_Line
