(New) Cell Type	(Old) Cell Type
Stomach_Mucosa	Stomach_Mucosa
Fetal_Thymus	Rectal_Mucosa.Donor_31
Breast_Myoepithelial_Cells	Duodenum_Mucosa
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Rectal_Smooth_Muscle
CD4pp_CD25__Th_Primary_Cells	Colon_Smooth_Muscle
CD8_Naive_Primary_Cells	Rectal_Mucosa.Donor_29
NHDF_Ad_Adult_Dermal_Fibroblasts	Colonic_Mucosa
Right_Atrium	Duodenum_Smooth_Muscle
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Pancreas	Esophagus
Fetal_Stomach	Fetal_Intestine_Small
CD14_Primary_Cells	CD4_Naive_Primary_Cells
Skeletal_Muscle_Male	CD4_Memory_Primary_Cells
Brain_Substantia_Nigra	Fetal_Intestine_Large
CD3_Primary_Cells_Peripheral_UW	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD8_Memory_Primary_Cells
Fetal_Adrenal_Gland	NHEK_Epidermal_Keratinocytes
iPS_DF_19.11_Cell_Line	Adipose_Nuclei
Fetal_Muscle_Trunk	Brain_Substantia_Nigra
Adult_Liver	HMEC_Mammary_Epithelial
CD4_Memory_Primary_Cells	Placenta_Amnion
Rectal_Mucosa.Donor_29	CD4pp_CD25__Th_Primary_Cells
Lung	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Spleen	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Muscle_Leg	CD8_Naive_Primary_Cells
Fetal_Intestine_Small	Adult_Liver
Colonic_Mucosa	Brain_Hippocampus_Middle
Adipose_Nuclei	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Fetal_Lung	Mobilized_CD34_Primary_Cells_Female
Fetal_Placenta	Stomach_Smooth_Muscle
Skeletal_Muscle_Female	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD34_Primary_Cells	HSMM_Skeletal_Muscle_Myoblasts
H9_Derived_Neuron_Cultured_Cells	Brain_Anterior_Caudate
Stomach_Smooth_Muscle	Brain_Cingulate_Gyrus
CD8_Memory_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
iPS_DF_6.9_Cell_Line	Brain_Mid_Frontal_Lobe
CD15_Primary_Cells	NHLF_Lung_Fibroblasts
Brain_Hippocampus_Middle	Sigmoid_Colon
CD34_Cultured_Cells	Skeletal_Muscle_Female
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Ovary
Brain_Inferior_Temporal_Lobe	Pancreatic_Islets
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
CD56_Primary_Cells	Spleen
CD4_Naive_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
