(New) Cell Type	(Old) Cell Type
Stomach_Mucosa	Stomach_Mucosa
CD34_Primary_Cells	Rectal_Mucosa.Donor_29
Fetal_Stomach	Duodenum_Mucosa
CD19_Primary_Cells_Cord_BI	Rectal_Mucosa.Donor_31
CD8_Memory_Primary_Cells	Fetal_Intestine_Small
IMR90_Cell_Line	Colonic_Mucosa
H9_Derived_Neuron_Cultured_Cells	Duodenum_Smooth_Muscle
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Fetal_Intestine_Large
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Skeletal_Muscle_Female	NHEK_Epidermal_Keratinocytes
Fetal_Brain_Male	Fetal_Stomach
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Rectal_Smooth_Muscle
HMEC_Mammary_Epithelial	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Mobilized_CD34_Primary_Cells_Female	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Small_Intestine
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	NHLF_Lung_Fibroblasts
GM12878_Lymphoblastoid	Sigmoid_Colon
CD4_Naive_Primary_Cells	HepG2_Hepatocellular_Carcinoma
HSMM_Skeletal_Muscle_Myoblasts	HeLa_S3_Cervical_Carcinoma
Peripheral_Blood_Mononuclear_Primary_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Adipose_Nuclei	HSMM_Skeletal_Muscle_Myoblasts
CD8_Naive_Primary_Cells	Gastric
K562_Leukemia	A549_EtOH_0.02pct_Lung_Carcinoma
Monocytes_CD14pp_RO01746	Colon_Smooth_Muscle
Mobilized_CD34_Primary_Cells_Male	Fetal_Adrenal_Gland
Skeletal_Muscle_Male	Fetal_Kidney
iPS_15b_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
NHEK_Epidermal_Keratinocytes	HMEC_Mammary_Epithelial
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Muscle_Leg
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Breast_Myoepithelial_Cells
Adult_Liver	IMR90_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD34_Cultured_Cells
