(New) Cell Type	(Old) Cell Type
Stomach_Smooth_Muscle	Stomach_Smooth_Muscle
Brain_Inferior_Temporal_Lobe	Colon_Smooth_Muscle
Brain_Hippocampus_Middle	Gastric
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Rectal_Smooth_Muscle
Muscle_Satellite_Cultured_Cells	Adipose_Nuclei
CD19_Primary_Cells_Cord_BI	Duodenum_Smooth_Muscle
Brain_Substantia_Nigra	Skeletal_Muscle_Female
Duodenum_Smooth_Muscle	Stomach_Mucosa
Fetal_Kidney	Brain_Mid_Frontal_Lobe
A549_EtOH_0.02pct_Lung_Carcinoma	Brain_Substantia_Nigra
Sigmoid_Colon	Brain_Angular_Gyrus
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Colonic_Mucosa
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Brain_Cingulate_Gyrus
CD4pp_CD25__Th_Primary_Cells	Brain_Hippocampus_Middle
CD3_Primary_Cells_Peripheral_UW	Brain_Inferior_Temporal_Lobe
Brain_Cingulate_Gyrus	CD4_Naive_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Skeletal_Muscle_Male
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Brain_Anterior_Caudate
Fetal_Lung	Adult_Liver
CD34_Primary_Cells	CD8_Memory_Primary_Cells
Rectal_Mucosa.Donor_29	Small_Intestine
NHLF_Lung_Fibroblasts	Right_Ventricle
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Fetal_Lung
Fetal_Muscle_Trunk	Breast_Myoepithelial_Cells
Brain_Mid_Frontal_Lobe	CD8_Naive_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
ES_I3_Cell_Line	Left_Ventricle
Peripheral_Blood_Mononuclear_Primary_Cells	Rectal_Mucosa.Donor_29
Dnd41_TCell_Leukemia	CD4_Memory_Primary_Cells
Fetal_Brain_Male	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Left_Ventricle	Placenta_Amnion
Right_Ventricle	Pancreatic_Islets
Rectal_Mucosa.Donor_31	Fetal_Heart
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Ovary
CD8_Memory_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
Brain_Anterior_Caudate	Spleen
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Sigmoid_Colon
CD19_Primary_Cells_Peripheral_UW	Fetal_Muscle_Leg
Osteoblasts	CD19_Primary_Cells_Peripheral_UW
CD8_Naive_Primary_Cells	Fetal_Muscle_Trunk
Fetal_Adrenal_Gland	Mobilized_CD34_Primary_Cells_Female
