(New) Cell Type	(Old) Cell Type
Thymus	Thymus
H9_Derived_Neuron_Cultured_Cells	Fetal_Thymus
Fetal_Intestine_Large	Spleen
Fetal_Thymus	H9_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Mobilized_CD34_Primary_Cells_Male
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
NHLF_Lung_Fibroblasts	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
H1_Derived_Mesenchymal_Stem_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Esophagus	CD4pp_CD25__Th_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD34_Primary_Cells
iPS_DF_6.9_Cell_Line	iPS_15b_Cell_Line
HepG2_Hepatocellular_Carcinoma	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Mobilized_CD34_Primary_Cells_Female
H1_Derived_Neuronal_Progenitor_Cultured_Cells	HUES64_Cell_Line
Pancreas	HUES6_Cell_Line
Lung	CD4_Memory_Primary_Cells
HeLa_S3_Cervical_Carcinoma	ES_I3_Cell_Line
Spleen	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Aorta	Esophagus
Gastric	CD4_Naive_Primary_Cells
Fetal_Brain_Female	Placenta_Amnion
NH_A_Astrocytes	Peripheral_Blood_Mononuclear_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	iPS_DF_6.9_Cell_Line
Breast_Myoepithelial_Cells	HUES48_Cell_Line
NHEK_Epidermal_Keratinocytes	Rectal_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Colon_Smooth_Muscle
Fetal_Stomach	iPS_DF_19.11_Cell_Line
Skeletal_Muscle_Male	CD8_Memory_Primary_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Stomach_Smooth_Muscle	Ovary
Fetal_Intestine_Small	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	iPS_20b_Cell_Line
Muscle_Satellite_Cultured_Cells	Right_Ventricle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Duodenum_Smooth_Muscle
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD8_Naive_Primary_Cells
Right_Ventricle	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Psoas_Muscle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD3_Primary_Cells_Cord_BI
iPS_15b_Cell_Line	Colonic_Mucosa
Brain_Germinal_Matrix	Adult_Liver
CD34_Cultured_Cells	CD19_Primary_Cells_Peripheral_UW
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Mobilized_CD34_Primary_Cells_Female	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Colonic_Mucosa	CD34_Cultured_Cells
CD15_Primary_Cells	H1_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	iPS_18_Cell_Line
Fetal_Adrenal_Gland	CD56_Primary_Cells
IMR90_Cell_Line	Brain_Anterior_Caudate
Brain_Mid_Frontal_Lobe	Brain_Hippocampus_Middle
HSMM_Skeletal_Muscle_Myoblasts	Duodenum_Mucosa
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Rectal_Mucosa.Donor_29
CD3_Primary_Cells_Cord_BI	CD15_Primary_Cells
CD14_Primary_Cells	Brain_Mid_Frontal_Lobe
CD3_Primary_Cells_Peripheral_UW	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
H9_Cell_Line	Lung
NHDF_Ad_Adult_Dermal_Fibroblasts	Fetal_Intestine_Small
Placenta_Amnion	Brain_Substantia_Nigra
Fetal_Muscle_Leg	ES_WA7_Cell_Line
Pancreatic_Islets	Brain_Angular_Gyrus
Ovary	Stomach_Mucosa
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Osteoblasts	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Cingulate_Gyrus
ES_I3_Cell_Line	Sigmoid_Colon
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Rectal_Mucosa.Donor_31
Brain_Angular_Gyrus	Fetal_Heart
Fetal_Lung	Brain_Germinal_Matrix
HUES64_Cell_Line	Fetal_Intestine_Large
Skeletal_Muscle_Female	4star
HUES6_Cell_Line	CD14_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Brain_Inferior_Temporal_Lobe
Small_Intestine	Left_Ventricle
Fetal_Brain_Male	HSMM_Skeletal_Muscle_Myoblasts
Rectal_Smooth_Muscle	Adipose_Nuclei
Brain_Cingulate_Gyrus	Neurosphere_Cultured_Cells_Cortex_Derived
CD56_Primary_Cells	Fetal_Brain_Female
