(New) Cell Type	(Old) Cell Type
Thymus	Thymus
Gastric	Fetal_Thymus
Fetal_Adrenal_Gland	CD8_Naive_Primary_Cells
Spleen	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Placenta	CD4_Memory_Primary_Cells
Lung	Sigmoid_Colon
iPS_DF_19.11_Cell_Line	CD4pp_CD25__Th_Primary_Cells
Pancreas	CD8_Memory_Primary_Cells
Stomach_Mucosa	CD3_Primary_Cells_Peripheral_UW
Brain_Germinal_Matrix	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Esophagus	CD4_Naive_Primary_Cells
Stomach_Smooth_Muscle	Small_Intestine
IMR90_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Skeletal_Muscle_Female	Mobilized_CD34_Primary_Cells_Female
Peripheral_Blood_Mononuclear_Primary_Cells	CD56_Primary_Cells
NHLF_Lung_Fibroblasts	Brain_Angular_Gyrus
Fetal_Muscle_Leg	Lung
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD34_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Stomach_Mucosa
H1_Derived_Mesenchymal_Stem_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
HepG2_Hepatocellular_Carcinoma	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Right_Ventricle	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Muscle_Trunk	Fetal_Placenta
CD34_Cultured_Cells	CD14_Primary_Cells
Fetal_Brain_Female	CD19_Primary_Cells_Peripheral_UW
iPS_15b_Cell_Line	4star
CD34_Primary_Cells	Fetal_Brain_Male
Adipose_Nuclei	iPS_DF_6.9_Cell_Line
Colonic_Mucosa	CD3_Primary_Cells_Cord_BI
Duodenum_Mucosa	Gastric
Left_Ventricle	Fetal_Adrenal_Gland
Fetal_Intestine_Large	Colonic_Mucosa
Brain_Hippocampus_Middle	Psoas_Muscle
CD3_Primary_Cells_Peripheral_UW	Brain_Substantia_Nigra
4star	Brain_Mid_Frontal_Lobe
Rectal_Mucosa.Donor_29	Esophagus
Brain_Mid_Frontal_Lobe	Pancreatic_Islets
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Pancreas
Fetal_Brain_Male	Fetal_Muscle_Trunk
CD19_Primary_Cells_Peripheral_UW	Brain_Cingulate_Gyrus
H1_Cell_Line	Fetal_Intestine_Large
CD56_Primary_Cells	Fetal_Kidney
Brain_Anterior_Caudate	Rectal_Smooth_Muscle
Rectal_Mucosa.Donor_31	Rectal_Mucosa.Donor_31
Fetal_Stomach	Left_Ventricle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Brain_Hippocampus_Middle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Brain_Anterior_Caudate
Brain_Cingulate_Gyrus	H1_Cell_Line
Aorta	Right_Ventricle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Colon_Smooth_Muscle
Rectal_Smooth_Muscle	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Brain_Inferior_Temporal_Lobe
Skeletal_Muscle_Male	Placenta_Amnion
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Duodenum_Mucosa
Sigmoid_Colon	Rectal_Mucosa.Donor_29
Right_Atrium	Mobilized_CD34_Primary_Cells_Male
CD4pp_CD25__Th_Primary_Cells	Fetal_Stomach
Fetal_Kidney	Brain_Germinal_Matrix
Colon_Smooth_Muscle	Fetal_Muscle_Leg
Adult_Liver	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Brain_Inferior_Temporal_Lobe	Duodenum_Smooth_Muscle
Brain_Angular_Gyrus	iPS_15b_Cell_Line
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD19_Primary_Cells_Cord_BI
CD14_Primary_Cells	CD34_Cultured_Cells
Fetal_Thymus	H9_Cell_Line
Mobilized_CD34_Primary_Cells_Female	Adipose_Nuclei
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Lung
Mobilized_CD34_Primary_Cells_Male	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Brain_Female
Placenta_Amnion	Breast_vHMEC
Duodenum_Smooth_Muscle	CD15_Primary_Cells
H9_Cell_Line	Spleen
CD19_Primary_Cells_Cord_BI	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	ES_I3_Cell_Line
Ovary	H9_Derived_Neuron_Cultured_Cells
H9_Derived_Neuron_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Intestine_Small	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Fetal_Lung	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Substantia_Nigra	HMEC_Mammary_Epithelial
Monocytes_CD14pp_RO01746	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Psoas_Muscle	iPS_18_Cell_Line
CD3_Primary_Cells_Cord_BI	Adult_Liver
iPS_DF_6.9_Cell_Line	Skeletal_Muscle_Female
HMEC_Mammary_Epithelial	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	NHLF_Lung_Fibroblasts
CD15_Primary_Cells	Monocytes_CD14pp_RO01746
CD4_Memory_Primary_Cells	Breast_Myoepithelial_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	IMR90_Cell_Line
CD8_Memory_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Dnd41_TCell_Leukemia
CD4_Naive_Primary_Cells	NH_A_Astrocytes
Breast_Myoepithelial_Cells	H1_Derived_Mesenchymal_Stem_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Fetal_Intestine_Small
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
HeLa_S3_Cervical_Carcinoma	HUES64_Cell_Line
Fetal_Heart	HUVEC_Umbilical_Vein_Endothelial_Cells
HUES6_Cell_Line	HUES48_Cell_Line
ES_WA7_Cell_Line	HUES6_Cell_Line
Osteoblasts	HepG2_Hepatocellular_Carcinoma
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Skeletal_Muscle_Male
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Stomach_Smooth_Muscle
HSMM_Skeletal_Muscle_Myoblasts	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
NHEK_Epidermal_Keratinocytes	HSMM_Skeletal_Muscle_Myoblasts
Dnd41_TCell_Leukemia	iPS_20b_Cell_Line
NH_A_Astrocytes	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
GM12878_Lymphoblastoid	NHEK_Epidermal_Keratinocytes
CD8_Naive_Primary_Cells	Osteoblasts
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Muscle_Satellite_Cultured_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Aorta
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	iPS_DF_19.11_Cell_Line
Muscle_Satellite_Cultured_Cells	GM12878_Lymphoblastoid
ES_I3_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	HeLa_S3_Cervical_Carcinoma
K562_Leukemia	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
