(New) Chromatin State	(Old) Chromatin State
Active_TSS	Flanking_Active_TSS
Genic_enhancers	Active_TSS
Repressed_PolyComb	Bivalent_Poised_TSS
Enhancers	Transcr_at_gene_5_and_3
ZNF_genes_and_repeats	Flanking_Bivalent_TSS_Enh
Transcr_at_gene_5_and_3	Enhancers
Heterochromatin	Bivalent_Enhancer
Strong_transcription	Repressed_PolyComb
Flanking_Active_TSS	Weak_transcription
Bivalent_Poised_TSS	Genic_enhancers
Bivalent_Enhancer	Weak_Repressed_PolyComb
Weak_transcription	ZNF_genes_and_repeats
Flanking_Bivalent_TSS_Enh	Heterochromatin
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
