(New) Cell Type	(Old) Cell Type
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
HUES6_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
4star	HUES64_Cell_Line
HUVEC_Umbilical_Vein_Endothelial_Cells	HUES6_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	iPS_20b_Cell_Line
Fetal_Brain_Female	iPS_15b_Cell_Line
Fetal_Thymus	iPS_18_Cell_Line
iPS_15b_Cell_Line	ES_WA7_Cell_Line
Monocytes_CD14pp_RO01746	HUES48_Cell_Line
HUES48_Cell_Line	ES_I3_Cell_Line
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Placenta_Amnion
CD14_Primary_Cells	H1_Cell_Line
HeLa_S3_Cervical_Carcinoma	Fetal_Intestine_Large
Mobilized_CD34_Primary_Cells_Male	Fetal_Thymus
CD34_Primary_Cells	Fetal_Intestine_Small
NH_A_Astrocytes	Fetal_Heart
HMEC_Mammary_Epithelial	iPS_DF_6.9_Cell_Line
NHLF_Lung_Fibroblasts	Thymus
H9_Cell_Line	H1_BMP4_Derived_Trophoblast_Cultured_Cells
ES_I3_Cell_Line	CD3_Primary_Cells_Cord_BI
Fetal_Kidney	CD15_Primary_Cells
Brain_Germinal_Matrix	Brain_Germinal_Matrix
Rectal_Smooth_Muscle	H9_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Smooth_Muscle
Placenta_Amnion	Stomach_Mucosa
Dnd41_TCell_Leukemia	Rectal_Mucosa.Donor_29
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Duodenum_Mucosa
Mobilized_CD34_Primary_Cells_Female	H9_Derived_Neuronal_Progenitor_Cultured_Cells
