(New) Chromatin State	(Old) Chromatin State
Heterochromatin	ZNF_genes_and_repeats
ZNF_genes_and_repeats	Heterochromatin
Repressed_PolyComb	Weak_transcription
Strong_transcription	Strong_transcription
Genic_enhancers	Genic_enhancers
Enhancers	Transcr_at_gene_5_and_3
Weak_transcription	Flanking_Bivalent_TSS_Enh
Transcr_at_gene_5_and_3	Bivalent_Poised_TSS
Active_TSS	Active_TSS
Weak_Repressed_PolyComb	Repressed_PolyComb
Flanking_Active_TSS	Bivalent_Enhancer
Bivalent_Poised_TSS	Flanking_Active_TSS
Bivalent_Enhancer	Enhancers
Flanking_Bivalent_TSS_Enh	Weak_Repressed_PolyComb
Quiescent_Low	Quiescent_Low
