(New) Cell Type	(Old) Cell Type
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD4pp_CD25__Th_Primary_Cells	HUES64_Cell_Line
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
HUES6_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
HUES48_Cell_Line	iPS_20b_Cell_Line
Small_Intestine	H9_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	iPS_18_Cell_Line
Pancreas	iPS_15b_Cell_Line
Colonic_Mucosa	iPS_DF_6.9_Cell_Line
iPS_18_Cell_Line	ES_I3_Cell_Line
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	iPS_DF_19.11_Cell_Line
HUES64_Cell_Line	HUES48_Cell_Line
Esophagus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
NH_A_Astrocytes	HUES6_Cell_Line
iPS_15b_Cell_Line	H1_Cell_Line
iPS_20b_Cell_Line	ES_WA7_Cell_Line
Fetal_Kidney	Placenta_Amnion
Thymus	Thymus
ES_WA7_Cell_Line	Rectal_Smooth_Muscle
Ovary	Colon_Smooth_Muscle
HeLa_S3_Cervical_Carcinoma	Fetal_Thymus
Spleen	4star
Dnd41_TCell_Leukemia	Brain_Germinal_Matrix
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Colonic_Mucosa
Pancreatic_Islets	Esophagus
CD34_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Brain_Germinal_Matrix	Spleen
CD56_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Breast_Myoepithelial_Cells	Rectal_Mucosa.Donor_29
Psoas_Muscle	Brain_Anterior_Caudate
Fetal_Brain_Male	Duodenum_Smooth_Muscle
Skeletal_Muscle_Male	Fetal_Intestine_Small
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Rectal_Mucosa.Donor_31
Fetal_Muscle_Leg	CD15_Primary_Cells
Stomach_Mucosa	Psoas_Muscle
Fetal_Intestine_Small	CD4_Memory_Primary_Cells
Rectal_Smooth_Muscle	Brain_Angular_Gyrus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Duodenum_Mucosa
Fetal_Thymus	Peripheral_Blood_Mononuclear_Primary_Cells
Aorta	CD4_Naive_Primary_Cells
