(New) Chromatin State	(Old) Chromatin State
Enhancers	Enhancers
Genic_enhancers	Flanking_Active_TSS
ZNF_genes_and_repeats	Weak_transcription
Transcr_at_gene_5_and_3	Genic_enhancers
Repressed_PolyComb	Transcr_at_gene_5_and_3
Flanking_Active_TSS	Active_TSS
Active_TSS	Bivalent_Enhancer
Heterochromatin	Weak_Repressed_PolyComb
Bivalent_Enhancer	Repressed_PolyComb
Strong_transcription	Quiescent_Low
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Weak_transcription	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Heterochromatin
