(New) Cell Type	(Old) Cell Type
iPS_15b_Cell_Line	iPS_15b_Cell_Line
HUES64_Cell_Line	HUES48_Cell_Line
iPS_20b_Cell_Line	H9_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	iPS_18_Cell_Line
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	HUES64_Cell_Line
HUES48_Cell_Line	ES_I3_Cell_Line
Fetal_Brain_Male	iPS_20b_Cell_Line
Breast_vHMEC	HUES6_Cell_Line
Osteoblasts	H1_Cell_Line
Stomach_Mucosa	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	iPS_DF_6.9_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	ES_WA7_Cell_Line
NHDF_Ad_Adult_Dermal_Fibroblasts	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Fetal_Heart	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Gastric	iPS_DF_19.11_Cell_Line
Fetal_Kidney	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
H9_Cell_Line	4star
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Heart
K562_Leukemia	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Fetal_Kidney
HeLa_S3_Cervical_Carcinoma	CD4_Memory_Primary_Cells
iPS_18_Cell_Line	CD8_Memory_Primary_Cells
Brain_Substantia_Nigra	CD4_Naive_Primary_Cells
ES_I3_Cell_Line	Colon_Smooth_Muscle
HSMM_Skeletal_Muscle_Myoblasts	CD34_Primary_Cells
CD19_Primary_Cells_Cord_BI	Rectal_Smooth_Muscle
H1_Cell_Line	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Anterior_Caudate
NHLF_Lung_Fibroblasts	Brain_Angular_Gyrus
Fetal_Lung	Fetal_Intestine_Small
Fetal_Intestine_Small	Brain_Substantia_Nigra
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Fetal_Intestine_Large	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
