(New) Cell Type	(Old) Cell Type
iPS_15b_Cell_Line	iPS_15b_Cell_Line
HUES48_Cell_Line	HUES64_Cell_Line
iPS_20b_Cell_Line	HUES48_Cell_Line
iPS_DF_6.9_Cell_Line	iPS_20b_Cell_Line
Fetal_Thymus	iPS_18_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	HUES6_Cell_Line
HUES64_Cell_Line	H1_Cell_Line
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ES_WA7_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
ES_I3_Cell_Line	ES_I3_Cell_Line
H1_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
H9_Cell_Line	iPS_DF_6.9_Cell_Line
HMEC_Mammary_Epithelial	Fetal_Thymus
HUES6_Cell_Line	H9_Cell_Line
4star	CD15_Primary_Cells
NH_A_Astrocytes	Thymus
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Placenta_Amnion
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Intestine_Small
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Intestine_Large
Muscle_Satellite_Cultured_Cells	Duodenum_Smooth_Muscle
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
iPS_18_Cell_Line	Brain_Germinal_Matrix
NHEK_Epidermal_Keratinocytes	Stomach_Mucosa
Fetal_Brain_Female	Rectal_Mucosa.Donor_29
HSMM_Skeletal_Muscle_Myoblasts	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD34_Primary_Cells	Duodenum_Mucosa
Neurosphere_Cultured_Cells_Cortex_Derived	Fetal_Stomach
Rectal_Mucosa.Donor_31	CD3_Primary_Cells_Cord_BI
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD14_Primary_Cells
Brain_Anterior_Caudate	Fetal_Muscle_Leg
Brain_Germinal_Matrix	Monocytes_CD14pp_RO01746
K562_Leukemia	Colonic_Mucosa
Fetal_Lung	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Osteoblasts	Rectal_Mucosa.Donor_31
Gastric	H9_Derived_Neuron_Cultured_Cells
Duodenum_Smooth_Muscle	Rectal_Smooth_Muscle
CD15_Primary_Cells	Fetal_Heart
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	NH_A_Astrocytes
NHDF_Ad_Adult_Dermal_Fibroblasts	Colon_Smooth_Muscle
Adult_Liver	Fetal_Brain_Female
Brain_Substantia_Nigra	Fetal_Muscle_Trunk
Dnd41_TCell_Leukemia	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD19_Primary_Cells_Cord_BI	Skeletal_Muscle_Male
Rectal_Mucosa.Donor_29	CD34_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	H1_Derived_Mesenchymal_Stem_Cells
Mobilized_CD34_Primary_Cells_Female	Fetal_Brain_Male
CD19_Primary_Cells_Peripheral_UW	Skeletal_Muscle_Female
Fetal_Placenta	CD3_Primary_Cells_Peripheral_UW
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Stomach_Smooth_Muscle
Stomach_Smooth_Muscle	Peripheral_Blood_Mononuclear_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD19_Primary_Cells_Peripheral_UW
Brain_Inferior_Temporal_Lobe	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Heart	iPS_DF_19.11_Cell_Line
Duodenum_Mucosa	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
NHLF_Lung_Fibroblasts	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Adipose_Nuclei	NHLF_Lung_Fibroblasts
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD3_Primary_Cells_Cord_BI	Neurosphere_Cultured_Cells_Cortex_Derived
Mobilized_CD34_Primary_Cells_Male	Mobilized_CD34_Primary_Cells_Male
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	NHEK_Epidermal_Keratinocytes
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
HeLa_S3_Cervical_Carcinoma	CD8_Memory_Primary_Cells
CD14_Primary_Cells	HepG2_Hepatocellular_Carcinoma
Fetal_Intestine_Large	Mobilized_CD34_Primary_Cells_Female
Monocytes_CD14pp_RO01746	Muscle_Satellite_Cultured_Cells
Breast_vHMEC	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Adrenal_Gland	Fetal_Placenta
Colon_Smooth_Muscle	Fetal_Kidney
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD19_Primary_Cells_Cord_BI
Skeletal_Muscle_Male	Adipose_Nuclei
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Fetal_Lung
Brain_Hippocampus_Middle	Fetal_Adrenal_Gland
Brain_Cingulate_Gyrus	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Fetal_Muscle_Trunk	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Breast_Myoepithelial_Cells	Osteoblasts
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Mid_Frontal_Lobe
CD4pp_CD25__Th_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Placenta_Amnion	Right_Ventricle
Fetal_Muscle_Leg	Brain_Hippocampus_Middle
A549_EtOH_0.02pct_Lung_Carcinoma	IMR90_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	K562_Leukemia
IMR90_Cell_Line	Small_Intestine
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD34_Primary_Cells
CD56_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Skeletal_Muscle_Female	Brain_Cingulate_Gyrus
Brain_Angular_Gyrus	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD34_Cultured_Cells	HeLa_S3_Cervical_Carcinoma
Fetal_Stomach	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Derived_Neuron_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Mid_Frontal_Lobe	Right_Atrium
Lung	Brain_Substantia_Nigra
iPS_DF_19.11_Cell_Line	HSMM_Skeletal_Muscle_Myoblasts
Spleen	Brain_Inferior_Temporal_Lobe
H9_Derived_Neuronal_Progenitor_Cultured_Cells	GM12878_Lymphoblastoid
Fetal_Intestine_Small	Sigmoid_Colon
Thymus	CD56_Primary_Cells
Right_Atrium	Brain_Angular_Gyrus
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Breast_Myoepithelial_Cells
CD3_Primary_Cells_Peripheral_UW	Lung
CD4_Naive_Primary_Cells	Brain_Anterior_Caudate
GM12878_Lymphoblastoid	A549_EtOH_0.02pct_Lung_Carcinoma
CD8_Naive_Primary_Cells	Dnd41_TCell_Leukemia
CD4_Memory_Primary_Cells	Spleen
H1_Derived_Mesenchymal_Stem_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Rectal_Smooth_Muscle	CD8_Naive_Primary_Cells
Stomach_Mucosa	CD4_Naive_Primary_Cells
Sigmoid_Colon	Esophagus
Fetal_Kidney	Ovary
Ovary	Breast_vHMEC
Left_Ventricle	Left_Ventricle
Pancreas	Pancreatic_Islets
Fetal_Brain_Male	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Colonic_Mucosa	HMEC_Mammary_Epithelial
CD8_Memory_Primary_Cells	CD4_Memory_Primary_Cells
Esophagus	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Right_Ventricle	Aorta
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Psoas_Muscle
Pancreatic_Islets	Adult_Liver
Aorta	4star
ES_WA7_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Psoas_Muscle	Pancreas
Small_Intestine	Gastric
