(New) Cell Type	(Old) Cell Type
iPS_18_Cell_Line	iPS_18_Cell_Line
CD34_Primary_Cells	Stomach_Mucosa
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Pancreas
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Placenta_Amnion
CD3_Primary_Cells_Peripheral_UW	HUVEC_Umbilical_Vein_Endothelial_Cells
CD19_Primary_Cells_Cord_BI	CD4_Memory_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	HUES48_Cell_Line
CD4pp_CD25__Th_Primary_Cells	CD8_Memory_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Small_Intestine
CD4_Memory_Primary_Cells	NH_A_Astrocytes
Duodenum_Smooth_Muscle	iPS_15b_Cell_Line
Fetal_Brain_Female	Gastric
CD8_Naive_Primary_Cells	Right_Ventricle
Breast_Myoepithelial_Cells	Muscle_Satellite_Cultured_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Osteoblasts
Duodenum_Mucosa	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	CD4_Naive_Primary_Cells
CD3_Primary_Cells_Cord_BI	Colonic_Mucosa
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Adipose_Nuclei	Colon_Smooth_Muscle
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Smooth_Muscle
NHDF_Ad_Adult_Dermal_Fibroblasts	iPS_20b_Cell_Line
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD8_Naive_Primary_Cells
Rectal_Mucosa.Donor_29	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
GM12878_Lymphoblastoid	Brain_Mid_Frontal_Lobe
HepG2_Hepatocellular_Carcinoma	Aorta
Adult_Liver	NHLF_Lung_Fibroblasts
CD4_Naive_Primary_Cells	Brain_Angular_Gyrus
HUES6_Cell_Line	H1_Cell_Line
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Rectal_Mucosa.Donor_31
Fetal_Kidney	Rectal_Mucosa.Donor_29
Fetal_Heart	HUES64_Cell_Line
Dnd41_TCell_Leukemia	HeLa_S3_Cervical_Carcinoma
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	iPS_DF_6.9_Cell_Line
CD15_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Mobilized_CD34_Primary_Cells_Female	Brain_Cingulate_Gyrus
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Fetal_Heart
Neurosphere_Cultured_Cells_Cortex_Derived	Skeletal_Muscle_Female
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Psoas_Muscle
HMEC_Mammary_Epithelial	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Muscle_Trunk	HepG2_Hepatocellular_Carcinoma
Stomach_Mucosa	HMEC_Mammary_Epithelial
CD8_Memory_Primary_Cells	Brain_Substantia_Nigra
CD19_Primary_Cells_Peripheral_UW	ES_WA7_Cell_Line
HSMM_Skeletal_Muscle_Myoblasts	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
K562_Leukemia	Brain_Inferior_Temporal_Lobe
Muscle_Satellite_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD34_Cultured_Cells	ES_I3_Cell_Line
