(New) Cell Type	(Old) Cell Type
iPS_20b_Cell_Line	iPS_20b_Cell_Line
HUES48_Cell_Line	CD4_Memory_Primary_Cells
CD8_Naive_Primary_Cells	CD8_Memory_Primary_Cells
CD4_Memory_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	Colonic_Mucosa
Mobilized_CD34_Primary_Cells_Male	CD8_Naive_Primary_Cells
CD3_Primary_Cells_Peripheral_UW	CD4_Naive_Primary_Cells
CD4_Naive_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
H1_Derived_Mesenchymal_Stem_Cells	Small_Intestine
Fetal_Thymus	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Fetal_Kidney
Sigmoid_Colon	HeLa_S3_Cervical_Carcinoma
Brain_Angular_Gyrus	Placenta_Amnion
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Rectal_Smooth_Muscle
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Fetal_Brain_Male
Thymus	H9_Cell_Line
Ovary	NH_A_Astrocytes
Mobilized_CD34_Primary_Cells_Female	iPS_18_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	iPS_DF_6.9_Cell_Line
CD4pp_CD25pp_CD127__Treg_Primary_Cells	H1_Cell_Line
HUES64_Cell_Line	Brain_Germinal_Matrix
CD34_Cultured_Cells	iPS_15b_Cell_Line
Stomach_Mucosa	HMEC_Mammary_Epithelial
Brain_Mid_Frontal_Lobe	NHLF_Lung_Fibroblasts
Adult_Liver	Brain_Mid_Frontal_Lobe
iPS_18_Cell_Line	Colon_Smooth_Muscle
H9_Derived_Neuron_Cultured_Cells	Fetal_Brain_Female
H9_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Rectal_Mucosa.Donor_29	Brain_Angular_Gyrus
Peripheral_Blood_Mononuclear_Primary_Cells	Brain_Substantia_Nigra
HUES6_Cell_Line	K562_Leukemia
Brain_Cingulate_Gyrus	NHEK_Epidermal_Keratinocytes
Lung	Brain_Cingulate_Gyrus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD34_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Stomach_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
ES_I3_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
Dnd41_TCell_Leukemia	ES_I3_Cell_Line
Fetal_Placenta	Rectal_Mucosa.Donor_31
CD8_Memory_Primary_Cells	Brain_Inferior_Temporal_Lobe
Brain_Germinal_Matrix	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Psoas_Muscle
Colon_Smooth_Muscle	Duodenum_Smooth_Muscle
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Right_Ventricle	Brain_Anterior_Caudate
CD4pp_CD25__Th_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
iPS_15b_Cell_Line	Brain_Hippocampus_Middle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
NHLF_Lung_Fibroblasts	Skeletal_Muscle_Male
Rectal_Smooth_Muscle	HSMM_Skeletal_Muscle_Myoblasts
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Esophagus
Duodenum_Smooth_Muscle	Fetal_Heart
Breast_Myoepithelial_Cells	Skeletal_Muscle_Female
Rectal_Mucosa.Donor_31	Fetal_Lung
Brain_Inferior_Temporal_Lobe	Sigmoid_Colon
Fetal_Brain_Female	Right_Ventricle
CD56_Primary_Cells	Osteoblasts
Fetal_Heart	GM12878_Lymphoblastoid
HUVEC_Umbilical_Vein_Endothelial_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	4star
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
CD19_Primary_Cells_Cord_BI	Gastric
Fetal_Intestine_Large	Ovary
HeLa_S3_Cervical_Carcinoma	Aorta
CD3_Primary_Cells_Cord_BI	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
4star	Left_Ventricle
Fetal_Muscle_Trunk	Lung
Duodenum_Mucosa	Breast_vHMEC
H1_Cell_Line	Fetal_Intestine_Small
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Pancreas
Spleen	Spleen
CD15_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Pancreas	Stomach_Smooth_Muscle
CD34_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
HepG2_Hepatocellular_Carcinoma	H1_Derived_Mesenchymal_Stem_Cells
Placenta_Amnion	HUES48_Cell_Line
Breast_vHMEC	Pancreatic_Islets
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	HUES6_Cell_Line
Fetal_Intestine_Small	HUES64_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Thymus
CD14_Primary_Cells	Fetal_Stomach
IMR90_Cell_Line	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Fetal_Adrenal_Gland
Neurosphere_Cultured_Cells_Cortex_Derived	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Monocytes_CD14pp_RO01746	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Substantia_Nigra	Fetal_Muscle_Trunk
HMEC_Mammary_Epithelial	IMR90_Cell_Line
Fetal_Stomach	Duodenum_Mucosa
Skeletal_Muscle_Male	Rectal_Mucosa.Donor_29
Brain_Anterior_Caudate	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Muscle_Leg	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Left_Ventricle	ES_WA7_Cell_Line
Brain_Hippocampus_Middle	H9_Derived_Neuron_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Intestine_Large
NHEK_Epidermal_Keratinocytes	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Adrenal_Gland	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Adipose_Nuclei
A549_EtOH_0.02pct_Lung_Carcinoma	Fetal_Muscle_Leg
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Breast_Myoepithelial_Cells
Fetal_Kidney	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Lung	Stomach_Mucosa
Adipose_Nuclei	Mobilized_CD34_Primary_Cells_Female
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD19_Primary_Cells_Cord_BI
NH_A_Astrocytes	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Skeletal_Muscle_Female	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Right_Atrium	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Muscle_Satellite_Cultured_Cells	Adult_Liver
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Fetal_Placenta
Osteoblasts	CD15_Primary_Cells
K562_Leukemia	Dnd41_TCell_Leukemia
NHDF_Ad_Adult_Dermal_Fibroblasts	CD3_Primary_Cells_Cord_BI
Esophagus	Peripheral_Blood_Mononuclear_Primary_Cells
GM12878_Lymphoblastoid	Mobilized_CD34_Primary_Cells_Male
Fetal_Brain_Male	CD34_Cultured_Cells
iPS_DF_6.9_Cell_Line	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Psoas_Muscle	CD4pp_CD25__Th_Primary_Cells
Gastric	Monocytes_CD14pp_RO01746
Colonic_Mucosa	CD14_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Thymus
Pancreatic_Islets	CD3_Primary_Cells_Peripheral_UW
iPS_DF_19.11_Cell_Line	CD19_Primary_Cells_Peripheral_UW
ES_WA7_Cell_Line	CD56_Primary_Cells
Aorta	iPS_DF_19.11_Cell_Line
Small_Intestine	Right_Atrium
