(New) Cell Type	(Old) Cell Type
iPS_DF_19.11_Cell_Line	iPS_DF_19.11_Cell_Line
HMEC_Mammary_Epithelial	iPS_DF_6.9_Cell_Line
Mobilized_CD34_Primary_Cells_Female	H9_Cell_Line
NHEK_Epidermal_Keratinocytes	H1_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	ES_WA7_Cell_Line
Fetal_Intestine_Small	HUES48_Cell_Line
CD14_Primary_Cells	ES_I3_Cell_Line
CD19_Primary_Cells_Cord_BI	iPS_20b_Cell_Line
IMR90_Cell_Line	iPS_15b_Cell_Line
CD3_Primary_Cells_Peripheral_UW	HUES64_Cell_Line
Colon_Smooth_Muscle	iPS_18_Cell_Line
H1_Cell_Line	4star
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	HUES6_Cell_Line
Monocytes_CD14pp_RO01746	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Adipose_Nuclei	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Placenta_Amnion
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Rectal_Smooth_Muscle
Fetal_Adrenal_Gland	Esophagus
CD34_Cultured_Cells	Colon_Smooth_Muscle
Stomach_Mucosa	Brain_Anterior_Caudate
Fetal_Muscle_Leg	Spleen
Fetal_Thymus	Brain_Angular_Gyrus
CD4_Memory_Primary_Cells	Thymus
Fetal_Brain_Male	Brain_Substantia_Nigra
Brain_Hippocampus_Middle	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Fetal_Thymus
GM12878_Lymphoblastoid	CD4_Memory_Primary_Cells
CD8_Naive_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Muscle_Satellite_Cultured_Cells	Colonic_Mucosa
4star	CD4_Naive_Primary_Cells
Dnd41_TCell_Leukemia	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Breast_Myoepithelial_Cells	Rectal_Mucosa.Donor_29
CD15_Primary_Cells	Psoas_Muscle
Fetal_Intestine_Large	Duodenum_Mucosa
K562_Leukemia	Brain_Mid_Frontal_Lobe
Skeletal_Muscle_Female	Rectal_Mucosa.Donor_31
Adult_Liver	Fetal_Kidney
iPS_15b_Cell_Line	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD56_Primary_Cells	CD8_Memory_Primary_Cells
CD8_Memory_Primary_Cells	Fetal_Heart
CD34_Primary_Cells	Brain_Germinal_Matrix
HSMM_Skeletal_Muscle_Myoblasts	Duodenum_Smooth_Muscle
Fetal_Placenta	Sigmoid_Colon
CD4_Naive_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
HUES6_Cell_Line	Brain_Inferior_Temporal_Lobe
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	Fetal_Intestine_Small
Skeletal_Muscle_Male	Stomach_Mucosa
Fetal_Stomach	CD8_Naive_Primary_Cells
NHLF_Lung_Fibroblasts	Brain_Hippocampus_Middle
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Brain_Cingulate_Gyrus
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD4pp_CD25__Th_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD34_Primary_Cells
HepG2_Hepatocellular_Carcinoma	CD3_Primary_Cells_Cord_BI
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Small_Intestine
Brain_Germinal_Matrix	CD19_Primary_Cells_Peripheral_UW
CD3_Primary_Cells_Cord_BI	CD34_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	NH_A_Astrocytes
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Brain_Cingulate_Gyrus	Fetal_Intestine_Large
A549_EtOH_0.02pct_Lung_Carcinoma	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Left_Ventricle
CD19_Primary_Cells_Peripheral_UW	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Osteoblasts	HMEC_Mammary_Epithelial
Duodenum_Mucosa	GM12878_Lymphoblastoid
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Adult_Liver
CD4pp_CD25__Th_Primary_Cells	Fetal_Brain_Female
NHDF_Ad_Adult_Dermal_Fibroblasts	CD15_Primary_Cells
Thymus	Fetal_Brain_Male
NH_A_Astrocytes	CD19_Primary_Cells_Cord_BI
HeLa_S3_Cervical_Carcinoma	Ovary
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Lung
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD56_Primary_Cells
Pancreatic_Islets	Lung
Rectal_Mucosa.Donor_31	Right_Ventricle
Breast_vHMEC	Skeletal_Muscle_Female
Fetal_Muscle_Trunk	NHEK_Epidermal_Keratinocytes
Rectal_Smooth_Muscle	Pancreatic_Islets
Fetal_Lung	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Placenta
Brain_Anterior_Caudate	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	H1_Derived_Mesenchymal_Stem_Cells
Fetal_Heart	Adipose_Nuclei
iPS_18_Cell_Line	CD14_Primary_Cells
Brain_Inferior_Temporal_Lobe	Mobilized_CD34_Primary_Cells_Female
Brain_Substantia_Nigra	NHLF_Lung_Fibroblasts
CD4pp_CD25pp_CD127__Treg_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
Rectal_Mucosa.Donor_29	Fetal_Muscle_Leg
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Stomach_Smooth_Muscle	NHDF_Ad_Adult_Dermal_Fibroblasts
Right_Atrium	HSMM_Skeletal_Muscle_Myoblasts
Brain_Angular_Gyrus	Right_Atrium
HUES48_Cell_Line	Fetal_Muscle_Trunk
ES_I3_Cell_Line	Stomach_Smooth_Muscle
Placenta_Amnion	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Brain_Mid_Frontal_Lobe	Fetal_Stomach
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Brain_Female	Monocytes_CD14pp_RO01746
Colonic_Mucosa	A549_EtOH_0.02pct_Lung_Carcinoma
Duodenum_Smooth_Muscle	Skeletal_Muscle_Male
iPS_20b_Cell_Line	Mobilized_CD34_Primary_Cells_Male
Left_Ventricle	HUVEC_Umbilical_Vein_Endothelial_Cells
HUES64_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Ovary	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Right_Ventricle	Breast_Myoepithelial_Cells
Sigmoid_Colon	Osteoblasts
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Psoas_Muscle	Muscle_Satellite_Cultured_Cells
Small_Intestine	Breast_vHMEC
Esophagus	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Cell_Line	Fetal_Adrenal_Gland
Fetal_Kidney	IMR90_Cell_Line
H1_Derived_Mesenchymal_Stem_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Lung	CD3_Primary_Cells_Peripheral_UW
Spleen	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Pancreas	Aorta
H1_Derived_Neuronal_Progenitor_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
iPS_DF_6.9_Cell_Line	Gastric
Gastric	K562_Leukemia
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Pancreas
ES_WA7_Cell_Line	Dnd41_TCell_Leukemia
Aorta	HeLa_S3_Cervical_Carcinoma
