(New) Chromatin State	(Old) Chromatin State
Bivalent_Enhancer	ZNF_genes_and_repeats
Transcr_at_gene_5_and_3	Weak_transcription
ZNF_genes_and_repeats	Heterochromatin
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Active_TSS	Strong_transcription
Flanking_Active_TSS	Genic_enhancers
Genic_enhancers	Repressed_PolyComb
Enhancers	Weak_Repressed_PolyComb
Flanking_Bivalent_TSS_Enh	Bivalent_Enhancer
Repressed_PolyComb	Transcr_at_gene_5_and_3
Heterochromatin	Bivalent_Poised_TSS
Strong_transcription	Enhancers
Weak_transcription	Flanking_Active_TSS
Weak_Repressed_PolyComb	Active_TSS
Quiescent_Low	Quiescent_Low
