(New) Cell Type	(Old) Cell Type
iPS_DF_6.9_Cell_Line	iPS_DF_6.9_Cell_Line
Ovary	H1_Cell_Line
Brain_Angular_Gyrus	H9_Cell_Line
Brain_Substantia_Nigra	HUES6_Cell_Line
Gastric	iPS_20b_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	ES_I3_Cell_Line
Esophagus	ES_WA7_Cell_Line
Brain_Mid_Frontal_Lobe	iPS_15b_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	iPS_18_Cell_Line
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	4star
Aorta	HUES48_Cell_Line
Brain_Inferior_Temporal_Lobe	HUES64_Cell_Line
Duodenum_Mucosa	iPS_DF_19.11_Cell_Line
H1_Derived_Neuronal_Progenitor_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Skeletal_Muscle_Male	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Rectal_Mucosa.Donor_31	Right_Atrium
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Lung	Fetal_Intestine_Small
Brain_Germinal_Matrix	Fetal_Stomach
H9_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Skeletal_Muscle_Female	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Colonic_Mucosa
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Fetal_Muscle_Leg	Fetal_Muscle_Trunk
Stomach_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Thymus	Brain_Mid_Frontal_Lobe
Adipose_Nuclei	Esophagus
Right_Atrium	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
4star	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Rectal_Smooth_Muscle	Rectal_Smooth_Muscle
Rectal_Mucosa.Donor_29	IMR90_Cell_Line
Pancreas	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	Fetal_Intestine_Large
HMEC_Mammary_Epithelial	HSMM_Skeletal_Muscle_Myoblasts
H1_Cell_Line	Brain_Germinal_Matrix
Brain_Anterior_Caudate	Fetal_Muscle_Leg
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Stomach_Smooth_Muscle
Brain_Cingulate_Gyrus	Duodenum_Smooth_Muscle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Fetal_Muscle_Trunk	NHLF_Lung_Fibroblasts
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Left_Ventricle
Lung	H1_Derived_Mesenchymal_Stem_Cells
Brain_Hippocampus_Middle	Fetal_Brain_Female
CD14_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
Fetal_Brain_Female	Fetal_Adrenal_Gland
Adult_Liver	Fetal_Kidney
Fetal_Adrenal_Gland	HepG2_Hepatocellular_Carcinoma
Colonic_Mucosa	Skeletal_Muscle_Male
HUES6_Cell_Line	Brain_Inferior_Temporal_Lobe
Neurosphere_Cultured_Cells_Cortex_Derived	Duodenum_Mucosa
CD8_Memory_Primary_Cells	Brain_Cingulate_Gyrus
Peripheral_Blood_Mononuclear_Primary_Cells	Right_Ventricle
CD8_Naive_Primary_Cells	Thymus
CD4_Naive_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
NH_A_Astrocytes	Rectal_Mucosa.Donor_29
ES_I3_Cell_Line	Breast_Myoepithelial_Cells
CD4_Memory_Primary_Cells	Lung
Psoas_Muscle	Brain_Anterior_Caudate
iPS_15b_Cell_Line	Colon_Smooth_Muscle
Thymus	Brain_Hippocampus_Middle
CD19_Primary_Cells_Peripheral_UW	Stomach_Mucosa
Fetal_Kidney	NHEK_Epidermal_Keratinocytes
iPS_DF_19.11_Cell_Line	Fetal_Thymus
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Brain_Angular_Gyrus
K562_Leukemia	Brain_Substantia_Nigra
Mobilized_CD34_Primary_Cells_Female	Gastric
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Skeletal_Muscle_Female
Fetal_Heart	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
H9_Derived_Neuron_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Left_Ventricle	Fetal_Placenta
Duodenum_Smooth_Muscle	Psoas_Muscle
Fetal_Intestine_Large	Rectal_Mucosa.Donor_31
Fetal_Brain_Male	Adipose_Nuclei
Sigmoid_Colon	Spleen
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Lung
Colon_Smooth_Muscle	NH_A_Astrocytes
CD3_Primary_Cells_Cord_BI	Pancreas
Fetal_Placenta	Sigmoid_Colon
NHEK_Epidermal_Keratinocytes	Osteoblasts
Osteoblasts	Peripheral_Blood_Mononuclear_Primary_Cells
iPS_18_Cell_Line	K562_Leukemia
HeLa_S3_Cervical_Carcinoma	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H1_Derived_Mesenchymal_Stem_Cells	Muscle_Satellite_Cultured_Cells
CD34_Primary_Cells	Placenta_Amnion
Fetal_Stomach	Aorta
CD3_Primary_Cells_Peripheral_UW	CD3_Primary_Cells_Peripheral_UW
IMR90_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD34_Cultured_Cells
Small_Intestine	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD56_Primary_Cells	HeLa_S3_Cervical_Carcinoma
CD34_Cultured_Cells	Ovary
Mobilized_CD34_Primary_Cells_Male	A549_EtOH_0.02pct_Lung_Carcinoma
Muscle_Satellite_Cultured_Cells	Dnd41_TCell_Leukemia
Stomach_Mucosa	Breast_vHMEC
HUES48_Cell_Line	Fetal_Brain_Male
Placenta_Amnion	Small_Intestine
CD4pp_CD25pp_CD127__Treg_Primary_Cells	HMEC_Mammary_Epithelial
GM12878_Lymphoblastoid	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Breast_Myoepithelial_Cells	Mobilized_CD34_Primary_Cells_Male
ES_WA7_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD19_Primary_Cells_Peripheral_UW
Right_Ventricle	Mobilized_CD34_Primary_Cells_Female
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	GM12878_Lymphoblastoid
NHLF_Lung_Fibroblasts	CD3_Primary_Cells_Cord_BI
Spleen	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD19_Primary_Cells_Cord_BI	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	CD56_Primary_Cells
iPS_20b_Cell_Line	Monocytes_CD14pp_RO01746
HUES64_Cell_Line	CD15_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD8_Memory_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	CD14_Primary_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Fetal_Heart
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD4pp_CD25__Th_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	CD34_Primary_Cells
Fetal_Intestine_Small	CD19_Primary_Cells_Cord_BI
HUVEC_Umbilical_Vein_Endothelial_Cells	CD8_Naive_Primary_Cells
Monocytes_CD14pp_RO01746	HUVEC_Umbilical_Vein_Endothelial_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4_Naive_Primary_Cells
Pancreatic_Islets	Pancreatic_Islets
CD15_Primary_Cells	CD4_Memory_Primary_Cells
Dnd41_TCell_Leukemia	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Breast_vHMEC	Adult_Liver
